,DealerNbr,DealerName,Clean Name,Report,Address1,City
344,1794988,best one tire & service,petersonservices,Performance,,
345,1794990,peterson services inc.,petersonservices,Performance,,
346,1794990,peterson services inc.,cecilstirenjennylube,Performance,,
347,1794994,cecils tire n jenny lube,philssunocoservice,Performance,,
348,1794995,phils sunoco service,tireautoservicectr,Performance,,
349,1794999,tire & auto service ctr,centraltire,Performance,,
350,1795000,central tire inc,centraltire,Performance,,
351,1795000,central tire inc,cookstirecenterii,Performance,,
352,1795001,cook's tire center ii,rohaleysonautomotive,Performance,,
353,1795002,rohaley & son automotive inc.,sosradialtire,Performance,,
354,1795003,sos radial tire,siggtirerepair,Performance,,
355,1795005,sigg tire & repair llc,siggtirerepair,Performance,,
356,1795005,sigg tire & repair llc,siggtirerepair,Performance,,
357,1795005,sigg tire & repair llc,autolubeplus,Performance,,
358,1795010,auto lube plus,autolubeplus,Performance,,
359,1795010,auto lube plus,coldspringsofautomotive,Performance,,
360,1795035,cold springs of automotive,coldspringsofautomotive,Performance,,
361,1795035,cold springs of automotive,lsmillerautomotive,Performance,,
362,1795038,"ls miller automotive, inc.",lsmillerautomotive,Performance,,
363,1795038,"ls miller automotive, inc.",lsmillerautomotive,Performance,,
364,1795038,"ls miller automotive, inc.",lsmillerautomotive,Performance,,
365,1795038,"ls miller automotive, inc.",smithtiresale,Performance,,
366,1794913,smith tire sale inc,warnerautomotivegroup,Performance,,
367,1794925,warner automotive group,poorboystireofjackson,Performance,,
368,1795074,"poor boys tire of jackson, llc",bobsgarage,Performance,,
369,1795083,bobs garage,smithfamilytireincdbacollegetire,Performance,,
370,1795084,"smith family tire, inc dba college tire",sutherlandspringstirebattery,Performance,,
371,1795091,sutherland springs tire & battery,downvalleytireswheel,Performance,,
372,1795094,down valley tires & wheel,youngstowntire,Performance,,
373,1795097,youngstown tire,communitycoop,Performance,,
374,1795099,community coop,jacksindependentservice,Performance,,
375,1795100,jack's independent service,jacksindependentservice,Performance,,
376,1795100,jack's independent service,bakerscitytire,Performance,,
377,1795103,bakers city tire,oleanclasscars,Performance,,
378,1795105,olean class cars,targettire,Performance,,
379,1795109,target tire,lisbontireandlube,Performance,,
380,1795114,lisbon tire and lube,lisbontireandlube,Performance,,
381,1795114,lisbon tire and lube,mrgstires,Performance,,
382,1795119,mr g's tires inc.,johnnystireautoservice,Performance,,
383,1795120,johnny's tire & auto service,princetonsunoco,Performance,,
384,1795125,princeton sunoco,trouttirecenter,Performance,,
385,1795129,trout tire center,hartlandauto,Performance,,
386,1795133,hartland auto,mooretire,Performance,,
387,1795135,moore tire,russelltire,Performance,,
388,1795138,russell tire co,russelltire,Performance,,
389,1795138,russell tire co,russelltire,Performance,,
390,1795138,russell tire co,baileytireauto,Performance,,
391,1795140,bailey tire & auto,cooperativeproducers,Performance,,
392,1795141,cooperative producers inc.,oakiestire,Performance,,
393,1795143,oakies tire,darbystireautoservice,Performance,,
394,1795149,darby's tire & auto service,littlelubetire,Performance,,
395,1795164,little lube & tire,totaltiresolutions,Performance,,
396,1795166,total tire solutions llc,totaltiresolutions,Performance,,
397,1795166,total tire solutions llc,alignmenttirebrakeofmeridian,Performance,,
398,1795178,alignment tire & brake of meridian llc,chucksmithsautoservice,Performance,,
399,1795180,chuck smiths auto service,conleybrotherstire,Performance,,
400,1795185,conley brothers tire inc.,alamotire,Performance,,
401,1795191,alamo tire inc,alamotire,Performance,,
402,1795191,alamo tire inc,phillipsmotors,Performance,,
403,1795193,phillip's motors,razorbacktire,Performance,,
404,1795194,razorback tire,johnsonsonestop,Performance,,
405,1795195,johnson's one stop,johnsonsonestop,Performance,,
406,1795195,johnson's one stop,newrideautodetailtireservice,Performance,,
407,1795197,new ride auto detail & tire service llc,goodnyoufuelservice,Performance,,
408,1795199,good n you fuel & service,expresstirewheel,Performance,,
409,1795419,express tire & wheel,donandjimsauto,Performance,,
410,1795420,don and jims auto,donandjimsauto,Performance,,
411,1795420,don and jims auto,valleytire,Performance,,
412,1795423,valley tire,davisautocenter,Performance,,
413,1795430,davis auto center,davisautocenter,Performance,,
414,1795430,davis auto center,tiretown,Performance,,
415,1795432,tire town,tiretown,Performance,,
416,1795432,tire town,mainstreettireauto,Performance,,
417,1795433,main street tire & auto,mainstreettireauto,Performance,,
418,1795433,main street tire & auto,discounttirebattery,Performance,,
419,1795454,discount tire & battery,wittysmuffleralignment,Performance,,
420,1795456,wittys muffler & alignment,kiethsservicecenter,Performance,,
421,1795457,kieth's service center,goodyearautocare,Performance,,
422,1795371,"goodyear auto care, inc.",knightsbodyshop,Performance,,
423,1795372,knight's body shop,hodgesbodyshop,Performance,,
424,1795376,hodges body shop,mytireguys,Performance,,
425,1795378,"my tire guys, inc",mytireguys,Performance,,
426,1795378,"my tire guys, inc",thetireshop,Performance,,
427,1795379,the tire shop,thetireshop,Performance,,
428,1795379,the tire shop,farmerscoop,Performance,,
429,1795384,farmers coop,farmerscoop,Performance,,
430,1795384,farmers coop,farmerscoop,Performance,,
431,1795384,farmers coop,farmerscoop,Performance,,
432,1795384,farmers coop,campbellssupplyco,Performance,,
433,1795387,campbells supply co inc.,boatmantireservice,Performance,,
434,1795393,boatman tire & service,skidmarkstirepros,Performance,,
435,1795398,skid marks tire pros,wrighttireservice,Performance,,
436,1795407,wright tire & service,illianasbestonetire,Performance,,
437,1795409,illiana's best one tire,illianasbestonetire,Performance,,
438,1795409,illiana's best one tire,bethelmarineauto,Performance,,
439,1795410,bethel marine & auto,goodtireservice,Performance,,
440,1795411,good tire service,1stopautorepair,Performance,,
441,1795412,1 stop auto repair,bestonetireserviceofauburn,Performance,,
442,1795414,best one tire & service of auburn,expresstirewheel,Performance,,
443,1795419,express tire & wheel,expresstirewheel,Performance,,
444,1795419,express tire & wheel,expresstirewheel,Performance,,
445,1795419,express tire & wheel,davisautocenter,Performance,,
446,1795430,davis auto center,tiretown,Performance,,
447,1795432,tire town,tiretown,Performance,,
448,1795432,tire town,mainstreettireauto,Performance,,
449,1795433,main street tire & auto,warrentontireauto,Performance,,
450,1795344,warrenton tire & auto,warrentontireauto,Performance,,
451,1795344,warrenton tire & auto,buffalotirebrake,Performance,,
452,1795345,buffalo tire & brake llc,buffalotirebrake,Performance,,
453,1795345,buffalo tire & brake llc,shuffittsautomotiveservice,Performance,,
454,1795347,shuffitts automotive service,shuffittsautomotiveservice,Performance,,
455,1795347,shuffitts automotive service,shuffittsautomotiveservice,Performance,,
456,1795347,shuffitts automotive service,farmersunionoil,Performance,,
457,1795348,farmers union oil,farmersunionoil,Performance,,
458,1795348,farmers union oil,farmersunionoil,Performance,,
