Dealer ID,DealerName,Clean Name,Report,Address,City,Key,TotalUnitsPurchased,RequiredUnits,PrimaryUnits,Primary%,SecondaryUnits,Secondary%,QualifyingUnits,Qualifying%,Non-QualifyingUnits,Non-Qualifying%
1811961,Mountain Man Tire,mountainmantire,Course,2103 Delray Street,Statesville,mountain2103delrstatesvi,5285,0,5285,100,0,0,4662,88.21,623,11.79
1934882,Sikorski's Service,sikorskisservice,Course,33 Prospect Street,Amsterdam,sikorski33prospeamsterda,0,100,0,,0,,0,,0,
1806087,Midway Tire,midwaytire,Course,95 Midway Ln.,Oak Ridge,midwayti95midwayoakridge,117,0,103,88.03,14,11.97,105,89.74,12,10.26
1813597,Great Western Tire of Dodge City,greatwesterntireofdodgecity,Course,200 W Frontview St,Dodge City,greatwes200wfrondodgecit,809,0,741,91.59,68,8.41,512,63.29,297,36.71
1970838,Spitzer Chevy,spitzerchevy,Course,333 E Aurora Rd,Northfield,spitzerc333eauronorthfie,28,5,28,100,0,0,28,100,0,0
1801964,Foreman Tire,foremantire,Course,102 3rd ave,Alton,foremant1023rdavalton,219,0,219,100,0,0,210,95.89,9,4.11
1803315,superior auto,superiorauto,Course,102 hillcrest dr,laurens,superior102hillclaurens,324,0,324,100,0,0,312,96.3,12,3.7
1806993,Prewitt's Automotive,prewittsautomotive,Course,13 Southern Oaks Ct.,Savannah,prewitts13southesavannah,531,0,531,100,0,0,529,99.62,2,0.38
1794141,best one tire,bestonetire,Course,1001 n court st,marion,bestonet1001ncoumarion,496,0,496,100,0,0,279,56.25,217,43.75
1810055,Dave & Dean's Quality Tire,davedeansqualitytire,Course,166 Hwy 51 N,Woodruff,davedean166hwy51woodruff,862,38,862,100,0,0,813,94.32,49,5.68
1799193,WEST CLINTON TIRE LLC,westclintontire,Course,4145 GRAY HWY,GRAY,westclin4145graygray,154,0,154,100,0,0,119,77.27,35,22.73
1809711,Simon's Auto Service,simonsautoservice,Course,1830 Lee Rd.,Cleveland Hts.,simonsau1830leerclevelan,472,0,472,100,0,0,464,98.31,8,1.69
1980753,Larson Tire and Automotive,larsontireandautomotive,Course,600 N Weatherford St,Midland,larsonti600nweatmidland,209,0,209,100,0,0,209,100,0,0
1806547,Reis Auto Parts & Service,reisautopartsservice,Course,300 Des Moines St,Odebolt,reisauto300desmoodebolt,107,0,107,100,0,0,87,81.31,20,18.69
1795921,Maverick's tire depot,maverickstiredepot,Course,6269 hwy 119 north,Whitesburg,maverick6269hwy1whitesbu,0,0,0,,0,,0,,0,
2026527,Global Tires Plus,globaltiresplus,Course,621 Indian trail lilburn rd,Lilburn,globalti621indialilburn,85,0,85,100,0,0,85,100,0,0
