,Dealer Number,Dealer Name,Store Address Line 1,Store City,Clean Name,Key
122,1795632,ALLENS DISCOUNT TIRE,PO BOX 578,COWEN,allensdiscounttire,allensdipobox578cowen
123,1795302,ALLENTOWN KIA,2350 LEHIGH ST,ALLENTOWN,allentownkia,allentow2350lehiallentow
124,1800646,ALLEY AUTO SALES,515 NILE KINNICK DRIVE N,ADEL,alleyautosales,alleyaut515nilekadel
125,1800816,ALLIANCE DISCOUNT TIRE CENTER,456 E STATE ST,ALLIANCE,alliancediscounttirecenter,alliance456estatalliance
126,1793738,ALLIED DISCOUNT TIRE & BRAKE INC,PO BOX 80429,LAFAYETTE,allieddiscounttirebrake,allieddipobox804lafayett
127,1793737,ALLIED DISCOUNT TIRE & BRAKE INC,P O BOX 80429,LAFAYETTE,allieddiscounttirebrake,allieddipobox804lafayett
128,1793739,ALLIED DISCOUNT TIRE & BRAKE INC,P O BOX 80429,LAFAYETTE,allieddiscounttirebrake,allieddipobox804lafayett
129,1898569,Allstar Alignment And Tire LLC,3533 E US HIGHWAY 80,ABILENE,allstaralignmentandtire,allstara3533eushabilene
130,1932262,Almena Lumber and Supply,611 Main Street,Almena,almenalumberandsupply,almenalu611mainsalmena
131,1932367,Almost Heaven Auto Repair LLC,12 commercial Dr,Charleston,almostheavenautorepair,almosthe12commercharlest
132,1797900,ALPINE MEADOWS TIRE LLC,722 RAGERSVILLE ROAD NW,SUGARCREEK,alpinemeadowstire,alpineme722ragersugarcre
133,1797529,ALPINE MOTOR CO.,P O Box 203,RINDGE,alpinemotor,alpinemopobox203rindge
134,1796329,ALRAY TIRE OF BOONE INC,124 REALTY ROW,BOONE,alraytireofboone,alraytir124realtboone
135,1800149,ALS AUTO PARTS AND SERVICE INC.,1301 N SHERMAN STREET,YORK,alsautopartsandservice,alsautop1301nsheyork
136,1794450,ALTHA FARMERS CO-OP,756 HWY 71,MARIANNA,althafarmerscoop,althafar756hwy71marianna
137,1794654,AMERICAN AUTO & TIRE SERVICE,2626 SLOW FLIGHT DRIVE,PORT ORANGE,americanautotireservice,american2626slowportoran
138,1801453,American Muffler & Towing,827 N 9TH ST,GALLUP,americanmufflertowing,american827n9thsgallup
139,1800198,AMERICAN TIRE CENTER,1626 PORTAGE ST NW,NORTH CANTON,americantirecenter,american1626portnorthcan
140,1797113,AMERICAN TIRE DEPOT,14407 ALONDRA BLVD,LA MIRADA,americantiredepot,american14407alolamirada
141,1798809,American Tire Inc.,121 Banjo Street,Bardstown,americantire,american121banjobardstow
142,1796368,AMERICAN WHEEL AND TIRE,11350 NW FWY,HOUSTON,americanwheelandtire,american11350nwfhouston
143,1800797,ANDERSON TIRE,PO BOX 707,LOCUST GROVE,andersontire,andersonpobox707locustgr
144,1797290,"ANDOVER DISCOUNT TIRES, LLC",529 ROUTE 206 NORTH,NEWTON,andoverdiscounttires,andoverd529routenewton
145,1797897,ANDY'S TIRE & AUTO CENTER,P0 B0X 582,SMITHTON,andystireautocenter,andystirp0b0x582smithton
146,1795370,ANDY'S TIRE & AUTO LLC,653 WALNUT STREET,EAST LIVERPOOL,andystireauto,andystir653walnueastlive
147,1798337,Anna Tire & Auto Center,90 Richview Dr.,Anna,annatireautocenter,annatire90richvianna
148,1794536,ANTHONY FARMERS COOPERATIVE ELEVATOR CO,PO BOX 111,ANTHONY,anthonyfarmerscooperativeelevator,anthonyfpobox111anthony
149,1797746,Anthony Wayne Tire & Auto,7952 MONCLOVA RD.,MONCLOVA,anthonywaynetireauto,anthonyw7952moncmonclova
150,1800790,APPERSON AUTOMOTIVE,1601 APPERSON DR,SALEM,appersonautomotive,apperson1601appesalem
151,1800790,APPERSON AUTOMOTIVE,1601 APPERSON DR,SALEM,appersonautomotive,apperson1601appesalem
152,1796936,APPLE AVE TIRE WHOLESALERS PLUS,2761 E. APPLE,MUSKEGAN,appleavetirewholesalersplus,appleave2761eappmuskegan
153,1799897,ARAB WHOLESALE TIRE,64 N BRINDLEE MNT. PARKWAY,ARAB,arabwholesaletire,arabwhol64nbrindarab
154,1794604,ARANDAS TIRE & RIM - GRAND,4505 W. GRAND AVE.,CHICAGO,arandastirerimgrand,arandast4505wgrachicago
155,1796746,ARANDAS TIRE SALES & REPAIR IV,2040 DRAGOON CT.,DETROIT,arandastiresalesrepairiv,arandast2040dragdetroit
156,1799444,ARCADIA COOP,W206 A THEUER LANE,ARCADIA,arcadiacoop,arcadiacw206athearcadia
157,1799922,ARCADIA FARM AND HOME,1475 E. WILSON AVE.,ARCADIA,arcadiafarmandhome,arcadiaf1475ewilarcadia
