,Name,Clean Name,Report,Address,City,Key,Count of Courses
5355,Hercules Tire Sales,herculestiresales,Course,10130 E 51st St,Tulsa,hercules10130e51tulsa,8
5356,White Tire CenterHwy 70,whitetirecenterhwy70,Course,761 Hwy 70 SW,Hickory,whitetir761hwy70hickory,41
5357,ATD,atd,Course,530 Marvel Road,Salisbury,atd530marvesalisbur,0
5358,Hercules Tire and Auto Repair,herculestireandautorepair,Course,805 West Kenosha,Broken Arrow,hercules805westkbrokenar,0
5359,earl w colvard inc dba boulevard tire,earlwcolvardincdbaboulevardtire,Course,816 s woodland blvd,deland,earlwcol816swooddeland,0
5360,TBC Corporation,tbc,Course,4280 Professional Center Dr,Palm Beach Gardens,tbc4280profpalmbeac,6
5361,Express Tire,expresstire,Course,1148 Industrial Ave,Escondido,expresst1148induescondid,2
5362,ellijay tire company,ellijaytire,Course,583 maddox drive,ellijay,ellijayt583maddoellijay,2
5363,dunn tire,dunntire,Course,475 CAYUGA RD,BUFALO,dunntire475cayugbufalo,0
5364,dunn tire,dunntire,Course,475 CAYUGA RD,BUFALO,dunntire475cayugbufalo,0
5365,dunn tire,dunntire,Course,475 cayuga rd,buffalo,dunntire475cayugbuffalo,0
5366,dunn tire,dunntire,Course,475 cayuga rd,buffalo,dunntire475cayugbuffalo,0
