,DealerName,Clean Name,Report,Address,City,Key
212,Bargain Barn Tire Center,bargainbarntirecenter,Course,1811 Deadwood Ave,Rapid City,bargainb1811deadrapidcit
213,JOHN DEERY MOTORS,johndeerymotors,Course,6823 UNIVERSITY AVENUE,CEDAR FALLS,johndeer6823univcedarfal
214,Endurance Auto Repair and Tire,enduranceautorepairandtire,Course,4522 Campbell Ave,Lynchburg,enduranc4522camplynchbur
215,Warehouse Tire,warehousetire,Course,4459 Pontiac Lake Rd,waterford,warehous4459pontwaterfor
216,Town & Country Tire Supply Inc,towncountrytiresupply,Course,201 Commercial,Atchison,towncoun201commeatchison
217,Kauffman Tire,kauffmantire,Course,5885 Mining Terrace,Jacksonville,kauffman5885minijacksonv
218,Frisby Tire,frisbytire,Course,425 Industrial Avenue,Ottawa,frisbyti425indusottawa
219,Frisby Tire,frisbytire,Course,425 Industrial Avenue,Ottawa,frisbyti425indusottawa
220,Carroll Tire,carrolltire,Course,440 Park 20 West Dr,Grovetown,carrollt440park2grovetow
221,Bailey's Auto Service,baileysautoservice,Course,,,
222,Cole Street Service,colestreetservice,Course,210 W. Cole,Moundridge,colestre210wcolemoundrid
223,Harriston Motors,harristonmotors,Course,235 Elora St Box 429,Harriston,harristo235eloraharristo
224,POMPENDER'S AUTO,pompendersauto,Course,2852 RTE.20/ P.O. BOX 108,sheridan,pompende2852rte2sheridan
225,Kauffman Tire,kauffmantire,Course,16235 Port NW Drive Suite 100,Houston,kauffman16235porhouston
226,MacLean's Automotive,macleansautomotive,Course,527 Main St,O'Leary,macleans527mainsoleary
227,U.S TIRE CENTER& AUTO REPAIR,ustirecenterautorepair,Course,5520 N DECATUR BLVD ST-110,LAS VEGAS,ustirece5520ndeclasvegas
228,Dakota Wholesale Tire,dakotawholesaletire,Course,2700 MAIN AVE,Fargo,dakotawh2700mainfargo
229,Cooper Tire Mexico,coopertiremexico,Course,CARR. EL SALTO,GUADALAJARA,cooperticarrelsaguadalaj
230,Tire World Auto Centers,tireworldautocenters,Course,5702 Industry lane A41,Frederick,tireworl5702indufrederic
231,CC Auto,ccauto,Course,1270 Louisville Rd,Harrodsburg,ccauto1270louiharrodsb
232,Whitley Automotive,whitleyautomotive,Course,210 Locust Ave,Locust,whitleya210locuslocust
233,All Season Equipment,allseasonequipment,Course,,,
234,Integrity Tire,integritytire,Course,11974 Willow Grove Road,Camden,integrit11974wilcamden
235,Fromm's Auto,frommsauto,Course,1915 Madison Ave,mankato,frommsau1915madimankato
236,Becker Tire,beckertire,Course,904 Washington,Great Bend,beckerti904washigreatben
237,Frisby Tire,frisbytire,Course,425 Industrial Avenue,Ottawa,frisbyti425indusottawa
238,International Tire Center,internationaltirecenter,Course,707 W. Baseline,san bernardino,internat707wbasesanberna
239,American Tire,americantire,Course,2302 Route 516,Old Bridge,american2302routoldbridg
