,DealerName,Clean Name,Report
394,darby's tire & auto service,littlelubetire,Performance
395,little lube & tire,totaltiresolutions,Performance
396,total tire solutions llc,totaltiresolutions,Performance
397,total tire solutions llc,alignmenttirebrakeofmeridian,Performance
398,alignment tire & brake of meridian llc,chucksmithsautoservice,Performance
399,chuck smiths auto service,conleybrotherstire,Performance
400,conley brothers tire inc.,alamotire,Performance
401,alamo tire inc,alamotire,Performance
402,alamo tire inc,phillipsmotors,Performance
403,phillip's motors,razorbacktire,Performance
404,razorback tire,johnsonsonestop,Performance
405,johnson's one stop,johnsonsonestop,Performance
406,johnson's one stop,newrideautodetailtireservice,Performance
407,new ride auto detail & tire service llc,goodnyoufuelservice,Performance
408,good n you fuel & service,expresstirewheel,Performance
409,express tire & wheel,donandjimsauto,Performance
410,don and jims auto,donandjimsauto,Performance
411,don and jims auto,valleytire,Performance
412,valley tire,davisautocenter,Performance
413,davis auto center,davisautocenter,Performance
414,davis auto center,tiretown,Performance
415,tire town,tiretown,Performance
416,tire town,mainstreettireauto,Performance
417,main street tire & auto,mainstreettireauto,Performance
418,main street tire & auto,discounttirebattery,Performance
419,discount tire & battery,wittysmuffleralignment,Performance
420,wittys muffler & alignment,kiethsservicecenter,Performance
421,kieth's service center,goodyearautocare,Performance
422,"goodyear auto care, inc.",knightsbodyshop,Performance
423,knight's body shop,hodgesbodyshop,Performance
424,hodges body shop,mytireguys,Performance
425,"my tire guys, inc",mytireguys,Performance
426,"my tire guys, inc",thetireshop,Performance
427,the tire shop,thetireshop,Performance
428,the tire shop,farmerscoop,Performance
429,farmers coop,farmerscoop,Performance
430,farmers coop,farmerscoop,Performance
431,farmers coop,farmerscoop,Performance
432,farmers coop,campbellssupplyco,Performance
433,campbells supply co inc.,boatmantireservice,Performance
434,boatman tire & service,skidmarkstirepros,Performance
435,skid marks tire pros,wrighttireservice,Performance
436,wright tire & service,illianasbestonetire,Performance
437,illiana's best one tire,illianasbestonetire,Performance
438,illiana's best one tire,bethelmarineauto,Performance
439,bethel marine & auto,goodtireservice,Performance
440,good tire service,1stopautorepair,Performance
441,1 stop auto repair,bestonetireserviceofauburn,Performance
442,best one tire & service of auburn,expresstirewheel,Performance
443,express tire & wheel,expresstirewheel,Performance
444,express tire & wheel,expresstirewheel,Performance
445,express tire & wheel,davisautocenter,Performance
446,davis auto center,tiretown,Performance
447,tire town,tiretown,Performance
448,tire town,mainstreettireauto,Performance
449,main street tire & auto,warrentontireauto,Performance
450,warrenton tire & auto,warrentontireauto,Performance
451,warrenton tire & auto,buffalotirebrake,Performance
452,buffalo tire & brake llc,buffalotirebrake,Performance
453,buffalo tire & brake llc,shuffittsautomotiveservice,Performance
454,shuffitts automotive service,shuffittsautomotiveservice,Performance
455,shuffitts automotive service,shuffittsautomotiveservice,Performance
456,shuffitts automotive service,farmersunionoil,Performance
457,farmers union oil,farmersunionoil,Performance
458,farmers union oil,farmersunionoil,Performance
459,farmers union oil,greatlakesbestonetireservice,Performance
460,great lakes best-one tire & service llc,clemonstire,Performance
461,clemons tire,honeystirecenter,Performance
462,honey's tire center,honeystirecenter,Performance
463,honey's tire center,andystireauto,Performance
464,andy's tire & auto llc,goodyearautocare,Performance
465,"goodyear auto care, inc.",knightsbodyshop,Performance
466,knight's body shop,hodgesbodyshop,Performance
467,hodges body shop,hodgesbodyshop,Performance
468,hodges body shop,pacetire,Performance
469,pace tire,mytireguys,Performance
470,"my tire guys, inc",thetireshop,Performance
471,the tire shop,campbellssupplyco,Performance
472,campbells supply co inc.,campbellssupplyco,Performance
473,campbells supply co inc.,phoenixavetire,Performance
474,phoenix ave tire,pmwreckersvcandautocenter,Performance
475,p&m wrecker svc and auto center,bestonetireautoofgrant,Performance
476,best one tire & auto of grant co.,losamigostireservice,Performance
477,los amigos tire service,mattinglysautomotive,Performance
478,mattingly's automotive,mattinglysautomotive,Performance
479,mattingly's automotive,mattinglysautomotive,Performance
480,mattingly's automotive,deltaretailwholesale,Performance
481,delta retail wholesale,deltaretailwholesale,Performance
482,delta retail wholesale,specksales,Performance
483,speck sales inc.,kapraltireandauto,Performance
484,kapral tire and auto llc,kapraltireandauto,Performance
485,kapral tire and auto llc,shaffertire,Performance
486,shaffer tire inc.,penskehonda,Performance
487,penske honda,westoakauto,Performance
488,west oak auto,nickystireauto,Performance
489,nickys tire & auto,mcleodsautoservice,Performance
490,mcleod's auto service,gobencars,Performance
491,goben cars,masttire,Performance
492,mast tire,masttire,Performance
493,mast tire,bjsautorepair,Performance
494,bj's auto  repair,whitakertire,Performance
495,whitaker tire inc,baileystireservice,Performance
496,baileys tire service inc.,baileystireservice,Performance
497,baileys tire service inc.,queencitymotors,Performance
498,queen city motors,queencitymotors,Performance
499,queen city motors,autoservant,Performance
500,auto servant llc,autoservant,Performance
501,auto servant llc,palmettotireofsumter,Performance
502,palmetto tire of sumter,palmettotireofsumter,Performance
503,palmetto tire of sumter,palmettotireofsumter,Performance
504,palmetto tire of sumter,wayneoilcompany,Performance
505,wayne oil company inc.,bridgervalleymotor,Performance
506,bridger valley motor,tigertireauto,Performance
507,tiger tire & auto,buettnertiredistributorsofwv,Performance
508,buettner tire distributors of wv llc,tireengineers,Performance
509,tire engineers,tireengineers,Performance
510,tire engineers,tireengineers,Performance
511,tire engineers,rodneystire,Performance
512,rodney's tire,bayareaautomotiveservices,Performance
513,bay area automotive services,bayareaautomotiveservices,Performance
514,bay area automotive services,fredstirebattery,Performance
515,"fred's tire & battery, llc",furrstireservice,Performance
516,furrs tire service,williamsautomotive,Performance
517,williams automotive inc,philippidiscounttireservice,Performance
518,philippi discount tire & service,philippidiscounttireservice,Performance
519,philippi discount tire & service,smileyautomotive,Performance
520,smiley automotive inc.,smileyautomotive,Performance
521,smiley automotive inc.,bayoustatetire,Performance
522,"bayou state tire, llc",gearheadzautoshop,Performance
523,gearheadz auto shop,gearheadzautoshop,Performance
524,gearheadz auto shop,gilsautosales,Performance
525,gils auto sales,grilliotalignmentservice,Performance
526,grilliot alignment service inc,grilliotalignmentservice,Performance
527,grilliot alignment service inc,grilliotalignmentservice,Performance
528,grilliot alignment service inc,vanzantwheelstires,Performance
529,vanzant wheels & tires,allensdiscounttire,Performance
530,allens discount tire,valleyridgeautomotive,Performance
531,valley ridge automotive,valleyridgeautomotive,Performance
532,valley ridge automotive,rockingoztires,Performance
533,rocking oz tires,briarhillincdbagrofftiresupply,Performance
534,"briar hill, inc dba groff tire supply",uptowntireautoservice,Performance
535,uptown tire & auto service,uptowntireautoservice,Performance
536,uptown tire & auto service,uptowntireautoservice,Performance
537,uptown tire & auto service,doubleatire,Performance
538,double a tire,doubleatire,Performance
539,double a tire,doubleatire,Performance
540,double a tire,gcrtiresservice,Performance
541,gcr tires & service,markle66,Performance
542,markle 66,markle66,Performance
543,markle 66,automeccatiresrepair,Performance
544,auto-mecca tires & repair,craftonautoparts,Performance
545,crafton auto parts,craftonautoparts,Performance
546,crafton auto parts,craftonautoparts,Performance
547,crafton auto parts,henrystire,Performance
548,henrys tire,henrystire,Performance
549,henrys tire,morgansautocarecenter,Performance
550,morgan's auto care center,flintsautocenter,Performance
551,flints auto center,flintsautocenter,Performance
552,flints auto center,flintsautocenter,Performance
553,flints auto center,bktirecenter,Performance
554,b&k tire center,bktirecenter,Performance
555,b&k tire center,customtire,Performance
556,custom tire inc.,allenstire,Performance
557,allen's tire,stewartsauto,Performance
558,stewart's auto,stewartsauto,Performance
559,stewart's auto,revinindustriesdbahollistercollision,Performance
560,revin industries dba hollister collision llc,revinindustriesdbahollistercollision,Performance
561,revin industries dba hollister collision llc,wsrservicesllcdbaqualitytireandcarcarecen,Performance
