,DealerName,Clean Name,Report
311,Dobbs Tire & Auto Centers,dobbstireautocenters,Course
312,Harrell's Auto Service,harrellsautoservice,Course
313,Harrell's Auto Service,harrellsautoservice,Course
314,Dobbs Tire & Auto Centers,dobbstireautocenters,Course
315,Cooper Tire,coopertire,Course
316,National Tire Warehouse,nationaltirewarehouse,Course
317,PTL Tire & Auto,ptltireauto,Course
318,PTL Tire & Auto,ptltireauto,Course
319,PTL Tire and Auto,ptltireandauto,Course
320,U.S. AutoForce,usautoforce,Course
321,FinishLine Lube & Tire,finishlinelubetire,Course
322,FinishLine Lube & Tire,finishlinelubetire,Course
323,Gene's Tire Service,genestireservice,Course
324,U.S. AutoForce,usautoforce,Course
325,U.S. AutoForce,usautoforce,Course
326,U.S. AutoForce,usautoforce,Course
327,Perfection Tire,perfectiontire,Course
328,Dobbs Tire & Auto Centers,dobbstireautocenters,Course
329,PTL Tire & Auto,ptltireauto,Course
330,Dobbs Tire & Auto Centers,dobbstireautocenters,Course
331,Dobbs Tire & Auto Centers,dobbstireautocenters,Course
332,Dobbs Tire & Auto Centers,dobbstireautocenters,Course
333,Bailey's Auto Service,baileysautoservice,Course
334,Cooper Tire and Rubber Company,coopertireandrubbercompany,Course
335,Dobbs Tire & Auto Centers,dobbstireautocenters,Course
336,National Tire Warehouse,nationaltirewarehouse,Course
337,JONES INTERSTATE TIRE CO.,jonesinterstatetireco,Course
338,Dusty's Precision Auto,dustysprecisionauto,Course
339,Cooper Tire and Rubber Co.,coopertireandrubberco,Course
340,AutoNation Toyota Fort Myers,autonationtoyotafortmyers,Course
341,AutoNation Toyota Fort Myers,autonationtoyotafortmyers,Course
342,Interstate Tire,interstatetire,Course
343,AutoNation Toyota Fort Myers,autonationtoyotafortmyers,Course
344,AutoNation Toyota Fort Myers,autonationtoyotafortmyers,Course
345,AutoNation Toyota Fort Myers,autonationtoyotafortmyers,Course
346,AutoNation Toyota Fort Myers,autonationtoyotafortmyers,Course
347,AutoNation Toyota Fort Myers,autonationtoyotafortmyers,Course
348,AutoNation Toyota Fort Myers,autonationtoyotafortmyers,Course
349,AutoNation Toyota Fort Myers,autonationtoyotafortmyers,Course
350,South Lyon Tire & Service,southlyontireservice,Course
351,Harrell's Auto Service,harrellsautoservice,Course
352,National Tire Warehouse,nationaltirewarehouse,Course
353,John's Tire Sales & Service,johnstiresalesservice,Course
354,ATD,atd,Course
355,Cooper Tire,coopertire,Course
356,K & W Tire Co. Inc.,kwtirecoinc,Course
357,Perfection Tire,perfectiontire,Course
358,Tom's Tire and Auto Clinic,tomstireandautoclinic,Course
359,Tom's Tire and Auto Clinic,tomstireandautoclinic,Course
360,Cooper Tire & Rubber Co.,coopertirerubberco,Course
361,American Tire Distributors,americantiredistributors,Course
362,American Tire Disributors,americantiredisributors,Course
363,American Tire Distributor,americantiredistributor,Course
364,Cooper Tire,coopertire,Course
365,Cooper Tire & Rubber Co.,coopertirerubberco,Course
366,Cooper Tire,coopertire,Course
367,Forrest Tire Co.,forresttireco,Course
368,Kauffman Tire,kauffmantire,Course
369,Cooper Tire,coopertire,Course
370,Cooper Tire,coopertire,Course
371,Cooper Tire & Rubber Company,coopertirerubbercompany,Course
372,Dobbs Tire & Auto Centers,dobbstireautocenters,Course
373,National Tire Warehouse,nationaltirewarehouse,Course
374,Kingston Auto,kingstonauto,Course
375,Cooper Tire,coopertire,Course
376,Dobbs Tire & Auto Centers,dobbstireautocenters,Course
377,Carroll Tire,carrolltire,Course
378,Cooper Tire,coopertire,Course
379,Cooper Tire,coopertire,Course
380,Dobbs Tire & Auto Centers,dobbstireautocenters,Course
381,Tetrault Tire Pros,tetraulttirepros,Course
382,Meineke Car Care Center,meinekecarcarecenter,Course
383,Cooper Tire,coopertire,Course
384,Meineke Car Care Center,meinekecarcarecenter,Course
385,Kauffman Tire,kauffmantire,Course
386,Meineke Car Care Center,meinekecarcarecenter,Course
387,Triple P Auto,triplepauto,Course
