,Business Name,Address,City,State,Membership/Store Number,Tire Brands Carried,Sales Group,Cooper Region,Date Registered,User Status,Points Earned,Courses Complete,Generated Key,Edit Distance,IsMatch,Activity Score,Heirarchy
4023,Ag Valley Coop,201 W Lincoln,Norton,Kansas,404632,Cooper,Mid West Territory 07,Midwest,06/03/2016,Enabled,75.0,5,agvalley201wlincnorton,11,NotDupe,Low,G
1443,Ag Valley Co-op,72133 Hwy 136,Edison,Nebraska,404632,Cooper,Mid West Territory 08,Midwest,04/01/2015,Enabled,486.0,31,agvalley72133hwyedison,5,NotDupe,High,Unique
4026,Ag Valley Cooperative,North Hwy 136,Edison,Nebraska,404632,Cooper,Mid West Territory 08,Midwest,06/04/2016,Enabled,105.0,6,agvalleynorthhwyedison,21,NotDupe,Medium,Unique
3435,AJ's Station,221 W Warren St,Saint Joseph,Illinois,110430,Mastercraft,Mid West Territory 05,Midwest,02/05/2016,Enabled,45.0,4,ajsstati221wwarrsaintjos,0,Dupe,Low,G
3372,AJ's Station,221 W WARREN ST,Saint Joseph,Illinois,110430,Mastercraft,Mid West Territory 05,Midwest,01/29/2016,Enabled,5.0,2,ajsstati221wwarrsaintjos,18,NotDupe,Low,G
2147,Alamo Tire,2200 N White Sands Blvd,Alamogordo,New Mexico,222538,Cooper,Western Territory 03,Western,07/21/2015,Enabled,984.0,72,alamotir2200nwhialamogor,15,NotDupe,High,Unique
5255,Albertos Tire pros,2500 Isleta Blvd SW,Albuquerque,New Mexico,,Cooper,Western Territory 03,Western,05/24/2017,Enabled,4.0,2,albertos2500islealbuquer,0,Dupe,Low,G
5256,Albertos Tire pros,2500 Isleta Blvd SW,Albuquerque,New Mexico,,Cooper,Western Territory 03,Western,05/24/2017,Enabled,383.0,37,albertos2500islealbuquer,17,NotDupe,High,G
1373,Albion Tire City,1519 North Eaton Street,Albion,Michigan,776815,Cooper,Mid West Territory 03,Midwest,03/26/2015,Enabled,135.0,8,albionti1519nortalbion,18,NotDupe,Medium,Unique
4342,Alex and Angel's Tires,5443 Shattuck ave,Oakland,California,699483270999,Cooper,Western Territory 07,Western,09/16/2016,Enabled,4.0,2,alexanda5443shatoakland,14,NotDupe,Low,Unique
1852,alfred auto center,6989 State Route 21,Almond,New York,585349,Both,Eastern Territory 05,Eastern,05/10/2015,Enabled,45.0,4,alfredau6989statalmond,19,NotDupe,Low,Unique
1847,Allen's Tire,1016 BrookHollow Drive,Jacksonville,Texas,,Cooper,South Central Territory 01,South Central,05/07/2015,Enabled,25.0,4,allensti1016broojacksonv,13,NotDupe,Low,Unique
2894,Allen's Tire,113 E. 7th Street,Rusk,Texas,338304,Both,South Central Territory 01,South Central,11/19/2015,Enabled,87.0,24,allensti113e7thsrusk,14,NotDupe,High,Unique
3809,Allen Tire Company,12238 South Woodruff,Downey,California,,Cooper,Western Territory 02,Western,04/15/2016,Enabled,631.0,38,allentir12238soudowney,2,Dupe,High,G
824,Allen Tire Co,12238 S. Woodruff Ave.,Downey,California,,Cooper,Western Territory 02,Western,02/05/2015,Enabled,1053.0,65,allentir12238swodowney,0,Dupe,High,G
826,Allen Tire Co,12238 S. Woodruff Ave.,Downey,California,,Cooper,Western Territory 02,Western,02/05/2015,Enabled,127.0,16,allentir12238swodowney,0,Dupe,High,G
2137,Allen Tire Co,12238 S. Woodruff Ave.,Downey,California,,Cooper,Western Territory 02,Western,07/17/2015,Enabled,361.0,29,allentir12238swodowney,14,NotDupe,High,G
1572,Allen Tire Co,17151 e imperial hwy,yorba linda,California,,Cooper,Western Territory 02,Western,04/14/2015,Enabled,125.0,12,allentir17151eimyorbalin,13,NotDupe,High,Unique
3065,Allen Tire Co,1772 W. Florida Ave,Hemet,California,,Cooper,Western Territory 02,Western,12/14/2015,Enabled,295.0,16,allentir1772wflohemet,0,Dupe,High,G
3751,Allen tire co.,1772 w florida ave,Hemet,California,,Cooper,Western Territory 02,Western,04/02/2016,Enabled,661.0,56,allentir1772wflohemet,0,Dupe,High,G
875,Allen Tire Co,1772 W. Florida Ave,Hemet,California,,Cooper,Western Territory 02,Western,02/09/2015,Enabled,1099.0,62,allentir1772wflohemet,0,Dupe,High,G
4558,Allen tire company,1772 w florida ave,Hemet,California,,Cooper,Western Territory 02,Western,11/22/2016,Enabled,1074.0,71,allentir1772wflohemet,13,NotDupe,High,G
1753,Allen Tire Co,18455 Beach Blvd,Huntington Beach,California,,Cooper,Western Territory 02,Western,04/28/2015,Enabled,2.0,0,allentir18455beahuntingt,13,NotDupe,No Activity,Unique
2479,Allen Tire Co,18801 Gridley Road,Cerritos,California,,Cooper,Western Territory 02,Western,09/24/2015,Enabled,529.0,40,allentir18801gricerritos,14,NotDupe,High,Unique
